jobtitle,skills
Pega Architect for Fulltime at TX and CA,"At least 2 years of experience in Architecture, Design and Detailing of Processes as it relates to Pega development At least 2 years of hands on application development experience in Pega PRPC v5.x/"
REMOTE Senior PHP Developer,"LAMP, PHP, MySQL, Azure, Linux, Apache, JavaScript, Lamp Stack, JAVA"
Technical Support Analyst II,"Windows/Linux Server admin , Troubleshooting , Strong networking"
Information Protection Manager Architecture Manager,"information security, cloud, security, infrastructure, evaluate, strategy, salesforce, amazon, azure, collaboration, storage, technical writing, CCSK, CCSP"
"OSP Engineer II | Field Services | Dallas, TX","Accounting, Analysis, CAD, Development, Management, MS Office, Project, Project Management, Security, Telecommunications"
"Director, Operations Project Management",See job description
BODS - Configuration Analyst,".NET VISUAL STUDIO, BODS, Business Objects Data Services, Java, SAP BODS, SQL Server"
"76/hr Infrastructure/Cloud Test Manager. 6-12 Months. Contract. Richardson, TX. (L-2786) (B)","QA -- Lead Roles,QA -- Infrastructure As A Service (IaaS),QA -- Platform as a Service (PaaS)"
Project Manager - Office 365,"office365, Project Management, ITIL"
"ETL Engineer / Developer needed - Hartford, CT area",ETL SSIS SQL Server 2008
Product Marketing Manager,"Product Marketing, B2B"
Sr. Business Analyst,"Agile, Analysis, Analyst, Business Analyst, Development, Excel, Management, Project, Project Management, SDLC, Specification, Testing"
iOS Developer,ios AND objective-c AND cocoa touch
Infrastructure Project Manager,"Costing, Database, Exchange, Hardware, LAN, Lifecycle, Manager, Management, PMP, Project, Project Management, Project Manager, Risk Management, Scheduling, Security, Testing, VPN, WAN"
Application Architect,"J2EE, Kendo UI, Jetty, HTML, Agile Methodoligies"
System Admin,Linux|Apache|System Admin|Linux satellite
Financial Analyst,"Accounting, Analysis, Analyst, BIND, CASE, Development, Excel, Manager, Management, Metrics, PowerPoint, Research, Supervision, Supervisor"
Project Coordinator,See job description
Network Engineer,"Analytical Skills, Architecture, Capacity Planning, CCNA, CCNP, Cisco, Diagnostic, DNS, Hardware, iOS, LAN, Linux, Management, Networking, Network Engineer, Project, Project Management, Protocols, Routers, Security, SSL, STP, Switches, Testing, WAN, Windows"
Scrum Master,"Scrum Master, Agile, SAFE"
Network Engineer,Network Engineer
Senior Radar Signal Processing Engineers,See job description
Incident Management Specialist,EDUCATIONAND EXPERIENCE: * Three to five years experience in supporting corporate desktop computing * Experience supporting Windows 7 and Windows 8 operating systems * Experience supp
Dynatrace Consultant,Dynatrace Consultant
Manual Test Engineer,"Interoperability or interdependency testing, FDA experience, Experience with Python, Ruby, LINUX, C++, embedded software, JIRA, Bugzilla"
"Loan Cashiering Specialist Job in Irving, TX","Loan Cashiering Specialist Job in Irving, TX"
Guidewire Consultant (Expenses Covered),Guidewire Integration (Expenses Covered)
Embedded Software Engineer - Active Clearance,"Ada, Algorithms, Architecture, Development, DSP, Embedded, Embedded Software, Peripheral, Programming, Security, Software Engineer"
Data Manager,"Architecture, Automotive, Data Architecture, Data Warehouse, Development, Manager, Management, SDLC"
Hardware-in-the-Loop SW Eng - ACTIVE Clearance,"Ada, Architecture, Development, Embedded, Embedded Software, Hardware, Linux, Programming, Security, Software Engineer"
Senior Software Systems Engineer,Senior Software Systems Engineer
Customer Service Representative,"BASIC, PC"
Sr Data and Reporting Analyst - IT Services,Sr Data and Reporting Analyst - IT Services
Manager of Platform Operations-Linux/Windows,Manager of Platform Operations-Linux/Windows
Project Manager 5,"Development, E-commerce, Manager, Management, Materials, MS Office, Project, Project Management, Project Manager, Sales, Telecom, Testing, User Interface, Validation"
Junior Software Engineer - C#/.NET,"ADO.Net, C#, HTML, JavaScript and XML"
Senior Signal Processing Engineers,See job description
"Lead DevOps Engineer - Hartford, CT","TFS,.NET, Atlassian"
Sourcing and Human Resources Intern,"Customer Service, Database, Intern, MS Office, Recruiter, Research, Sales"
Tier 1 Helpdesk Agent,Tier 1 Helpdesk Agent
Testing Technical Specialist,"Agile, CSS, Development, HTML, HTTP, Java, Management, Project, Project Management, QA, Quality Center, Testing, Web Design"
Business Analyst - Data & Analytics,"Analytics, Data, ETL, Healthcare"
Data Management Technician,"ESRI, GIS, Perl, Python, Visio, Data Management"
"CUSTOMER SERVICE REPRESENTATIVE III JOB IN IRVING, TX","CUSTOMER SERVICE REPRESENTATIVE III JOB IN IRVING, TX"
Backup Implementation Engineer,Backup Implementation Engineer
Software Engineer II,"Architecture, C++, CMM, Database, Development, J2EE, Java, OOD, Oracle, Project, Protocol, SDLC, Security, SOAP, Software Engineer, SQL, TCP/IP, Windows, XML"
Desktop Support,See job description
"LOAN CASHIERING SPECIALIST JOB IN IRVING, TX","LOAN CASHIERING SPECIALIST JOB IN IRVING, TX"
Business Analyst,"Analyst, Business Analyst, C++, C#, C / C++, Configuration Management, Crystal Reports, Database, Development, Embedded, Embedded Software, IMS, ISO, Lifecycle, Manager, Management, Networking, Oracle, Outlook, Project, Project Manager, Security, SQL, Surveillance, Testing, Video"
Sales/Recruiter Trainee Dallas,"Development, Inquire, Manager, Management, Materials, Networking, Protocols, Recruiter, Sales"
Oracle Cloud HCM Payroll and compensation Functional Consultant,Oracle Cloud HCM Payroll and Compensation modules experience
UI Developer,"UI, JQuery, HTML/CSS, JavaScript"
F5 Traffic Management Sr. Engineer,"Analysis, API, Architecture, Bash, BEA, Browser, Business Requirements, Development, DNS, DOS, Encryption, Exchange, Firewall, Hardware, HTTP, IBM, Management, Networks, Perl, Project, Protocol, Protocols, Python, Router, Security, SSL, TCP/IP, Testing, Validation, WebSphere"
Network Engineer,"Architecture, Bash, Cisco, Citrix, DNS, IVR, Linux, Network Engineer, Protocol, Protocols, Routers, Switches, TCP/IP, VMware, VPN, WAN"
"Systems Engineer - Irving, TX",".Net, ADO, ASP, ASP.NET, Brocade, Capacity Planning, Cisco, Citrix, Costing, CSS, Database, Development, Exchange, Firewall, Hardware, HTML, IIS, LAN, Manager, Management, Mobile Application Development, MS Office, Networks, Risk Management, Security, SQL, SQL Server, Testing, VMware, VPN, WAN, Windows, WSUS, XML"
Buyer,"Purchasing, ""Order Management"", ""MS Office"""
Hadoop Production Support Lead,"Analysis, Configuration Management, Consulting, Development, Hadoop, Management, Metrics, Programming, Project, Release, Research, Supervision"
Java Developer,"API Development, SOA, Java/J2EE, Web Services, Object Oriented Design"
Red Hat Linux Systems Engineer,"Analysis, Configuration Management, Database, DNS, Linux, Management, Oracle, Perl, Ruby, Security, Shell Scripting, Solaris, SOX, Sun, Sybase, Testing, Unix, VM, VMware"
Cloud Pre-Sales Engineer/ Cloud Solutions Architect,"AWS, Azure, IBM Cloud"
Application Production Support,".Net, C#/VB.NET, SQL, VS.NET/visual studio, ASP/ADO, Support"
Apple & PC Desktop Support Technician job in Dallas TX,Apple & PC Desktop Support Technician job in Dallas TX
Desktop Support,Desktop Support
PC Tech,"Database, Hardware, IMS, Laptop, Networking, PC, Peripheral, Routers, Switches, Windows, Wireless"
Business Analyst,Business Analyst
"QA Analyst (Selenium, eCommerce)","Agile, Analysis, Analyst, Automated, Browsers, Content Management, Development, Ecommerce, Excel, Management, MS Office, PowerPoint, Project, QA, Quality Assurance, Release, Scripts, Scrum, SDLC, SOAP, Testing, Validation"
Senior Security Engineer,Security Engineer
Data Warehouse Integration Developer,"Analysis, Architecture, Business Intelligence, Customer Service, Data Analysis, Data Warehouse, Developer, Development, Management, Project, Quality Assurance, Scripts, Specification, SQL, SQL Server"
Desktop Support,"Desktop Support, Ethernet, Hardware, LAN, PC, Protocols, VPN, WAN, Wireless"
4337 Remedy Admin (Contract),remedy admin
Systems Administrator,"Architecture, Business Requirements, CCNA, Consulting, Database, Exchange, Hardware, Linux, MCSE, Research, SOAP, Systems Administrator, VMware, Windows"
"COLLECTIONS & CUSTOMER SERVICE ASSOCIATE JOB IN IRVING, TX","COLLECTIONS & CUSTOMER SERVICE ASSOCIATE JOB IN IRVING, TX"
Technology Lead - US,"Java /J2EE, Batch Spring framework, Restful web services, Jasper reports"
CMS Technical Lead/Project Manager,java javascript html troubleshooting cms content management sales project management web internet development programming quality assurance web application databases portal application servers consult
Linux Build Vulnerability management engineer,Linux Build Vulnerability management engineer
Laserfiche Administrator,"Analyst, Business Analyst, Business Requirements, Development, Help Desk, Management, Supervision"
Service Desk Analyst,Service Desk Analyst
Senior Salesforce Developer (Call Center),"Salesforce, Service Cloud, visualforce,"
"Appian BPM Positions, Plano, TX","Appian, BPM, EAI"
Xamarin SDET,"Xamarin TestCloud, mobile, Quality Assurance"
Authentication Engineer,"Wireless Background, Aruba Clear Pass, Cisco ACS, Cisco ISE, Router / Switch authentication (TACACS)"
Applications Developer - Lewisville,See job description
Linux Systems Administrator DOWNTOWN $90-110K,"Agile, Apache, Automated, Bash, CCNA, Cisco, GIT, iOS, IT Manager, Linux, Manager, MySQL, mysql, Networking, Perl, PHP, Python, Routers, Scientific, Security, Shell Scripting, SSL, Switches, System Administrator, Systems Administrator, Version Control, VPN"
Salesforce Business Analyst,Salesforce Business Analyst
Technical Consultant,"Oracle, SQL, script, Linux"
PHP Front End Developer,"PHP, SQL/MySQL, Elastic-search/Kibana (ELK), Node.js, ECMA2016, Unit Testing (PHP/JS), JSON/AJAX/RESTful API Development,Java-script/jQueryJava-script/jQuery"
"Business Analyst with Crew Exp/ Fort Worth, TX",Business Analyst with Crew Experience
Data Architect,SSAS / SSIS / SSRS / Power BI / DATA VISUALIZATION / DATA WAREHOUSING / ETL / Architecture / TABULAR MODELING / DAX `
Teamcenter project manager,Multiple opening on Teamcenter Developer / Consultant / Admin / Analyst
"Cloud Engineer - Dallas, TX","Cloud Engineer - Dallas, TX"
"Direct Client - Sr Java Developer at Irving, TX - Two Positions.","Java/J2EE, WebLogic , Oracle SQL, MS Office Products, Unix/Linux"
Senior Tester,"Automated, CSS, Development, HTML, HTTP, Project, Scripts, SDLC, Tester, Testing, Validation"
Business Development Executive,business development; account executive; custom appliactions; IT professional services; microsoft; software development projects; C-level; selling
Product Specialist Technical Support Engineer,"OSI, TCP/IP, networking, protocol, DNS, DHCP, CLI, SQL, Linux, Windows, Active Directory, server, encryption, IIS, Exchange, Technical Support"
"Business Consultant, Digital Transformation",Well also need to see this on your resume: * An energetic and infectiously positive attitude * Insatiable intellectual curiosity * Demonstrable business consulting delivery experi
"Outside Sales Executives, Nationwide","outside Sales Engineers National Account Managers wireless telephone security data center virtualization energy conservation video copier imagin, Cisco CCNA CCDA VMWare IBM Symantec HP barracuda"
IOS developer,IOS
Infrastructure Project Manager,"Applicants must have 7+ years of IT Project Management experience, 2+ years of Infrastructure Project Management experience."
Oracle DBA,Oracle databases (10g and 11g) operating on LINUX and AIX platforms.
"(FULL TIME) HP Exstream Consultant - Plano, TX","HP Exstream Dialogue, UNIX scripting, Java technologies"
Help Desk Technician-Coppell,Help Desk Technician-Coppell
"Salesforce.com Administrator-Frisco, TX- $105k annual","Salesforce.com Administrator-Frisco, TX- $105k annual-Full Benefits, 401k"
Technical Project Manager,"PMI, CMM and Six Sigma"
Mid-Level Application Developer (5385),"ASP.NET MVC 3/4/5, C#, ORM frameworks (ADO.NET Entity Framework, LINQ to SQL, and NHibernate), SQL Server 2012+, IoC enterprise application frameworks (MEF, Spring.NET, and Unity)"
QA Engineer,QA Engineer
IT Security Services Analyst,"Analyst, Architecture, Customer Service, Database, DNS, HTTP, Java, Linux, Management, NetBios, Networking, Networks, PowerShell, Protocols, Security, SMTP, SSL, Windows"
Software Engineer,"Algorithm, Analysis, Analytical Skills, Architecture, A/V, Development, Embedded, Java, Libraries, Lifecycle, Materials, Protocols, Security, Software Engineer, XML"
F5 Traffic Management Manager,"Agile, Analysis, API, Architecture, Cisco, Configuration Management, Development, DNS, DOS, Encryption, Lifecycle, Manager, Management, Metrics, Networks, Perl, Programming, Project, Protocol, Protocols, Python, QA, QA Testing, Release, Security, SSL, Testing, Tivoli, Validation"
ETL Reporting Analyst reqd in Dallas TX,"Informatica,Cognos, Netezza, SQL Server"
C# ASP.NET Developer,"C#, ASP.NET, VB, SQL, Oracle"
"VNF Testing @ Dallas, TX","Performance Test Engineer // loadrunner , jmeter , jconsole , JVM , MAT //Selenium , UFT"
Sr Data and Reporting Analyst - IT Services,Sr Data and Reporting Analyst - IT Services
DevOps Engineer (Implementation),"C, C++, Java, Python, PHP, Ruby, HTML, CSS, HTTP, HTTPS, SSL, Oracle, Microsoft SQL Server, MySQL"
LAN/WAN Engineer III (Sr. Network Engineer),LAN/WAN Engineer III (Sr. Network Engineer)
Active Directory Engineer w/ Kerberos,"Database, DNS, PowerShell, Supervision, Windows"
"Loan Payoff Job in Irving, TX","Loan Cashiering Job in Irving, TX"
SalesForce/Veeva Business Analyst,"Salesforce.com Administration/Development , Veeva"
Senior Industry Principal,Banking domain
Network Engineer,See job description
Performance Tester,"Performance tester, loadrunner"
"C# / ASP.Net SW Engineer, Windows Services",WPF Windows Services TFS SQL Service Broker
"Vault Clerk Job in Irving, Texas","Vault Clerk Job in Pittsburgh, PA"
Enterprise Software Developer,Enterprise Software Developer
Senior Software Engineers (Radar),See job description
Enterprise Communications Engineer III - Avaya,Enterprise Communications Engineer III - Avaya
Network Engineer II,"VMware, ITIL, Cisco"
"Loan Boarding Processing - Job - Irving, TX","Loan Boarding Processing - Job - Irving, TX"
ERP Integration Manager,"Architecture, Consulting, ERP, Lifecycle, Manager, Management, Project, Project Management, SAP, Security, Testing"
Level 1 Help Desk Specialists,"Applications, ATM, B2B, Circuit, Cisco, Engineering, Frame Relay, Help Desk, LAN, Management, Multiplexers, Network, Project, Project Management, SDLC, Security, SONET, Token Ring, WAN, Wireless"
